0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,0,,,,,,,
0,HeartMaxFallSpeed,500,,,,,,,
0,BoneStab,1,45,1,233,,,,
0,PlatformRepeat,100,333,65,90,150,233,233,
2,SansBody,HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0.1,SansAnimation,Idle,,,,,,,
0.4,HeartMode,0,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,100,100,600,$HeartY,180,1,0
0,GasterBlaster,0,100,100,$HeartX,450,270,1,0
1,SansBody,HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0.1,SansAnimation,Idle,,,,,,,
0.4,HeartMode,0,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,100,100,600,$HeartY,180,1,0
0,GasterBlaster,0,100,100,$HeartX,450,270,1,0
1,SansBody,HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0.1,SansAnimation,Idle,,,,,,,
0.4,HeartMode,0,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,100,100,600,$HeartY,180,1,0
0,GasterBlaster,0,100,100,$HeartX,450,270,1,0
1,SansBody,HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0.1,SansAnimation,Idle,,,,,,,
0.4,HeartMode,0,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,100,100,600,$HeartY,180,1,0
0,GasterBlaster,0,100,100,$HeartX,450,270,1,0
1,SansBody,HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0.1,SansAnimation,Idle,,,,,,,
0.4,HeartMode,0,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,100,100,600,$HeartY,180,1,0
0,GasterBlaster,0,100,100,$HeartX,450,270,1,0
1,SansBody,HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0.1,SansAnimation,Idle,,,,,,,
0.4,HeartMode,0,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,100,100,600,$HeartY,180,1,0
0,GasterBlaster,0,100,100,$HeartX,450,270,1,0
1,SansBody,HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0.1,SansAnimation,Idle,,,,,,,
0.4,HeartMode,0,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,100,100,600,$HeartY,180,1,0
0,GasterBlaster,0,100,100,$HeartX,450,270,1,0
1,SansBody,HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0.1,SansAnimation,Idle,,,,,,,
0.4,HeartMode,0,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,100,100,600,$HeartY,180,1,0
0,GasterBlaster,0,100,100,$HeartX,450,270,1,0
1,SansBody,HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0.1,SansAnimation,Idle,,,,,,,
0.4,HeartMode,0,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,100,100,600,$HeartY,180,1,0
0,GasterBlaster,0,100,100,$HeartX,450,270,1,0
1,SansBody,HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0.1,SansAnimation,Idle,,,,,,,
0.4,HeartMode,0,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,100,100,600,$HeartY,180,1,0
0,GasterBlaster,0,100,100,$HeartX,450,270,1,0
1,SansBody,HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0.1,SansAnimation,Idle,,,,,,,
0.4,HeartMode,0,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,100,100,600,$HeartY,180,1,0
0,GasterBlaster,0,100,100,$HeartX,450,270,1,0
1,SansBody,HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0.1,SansAnimation,Idle,,,,,,,
0.4,HeartMode,0,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,100,100,600,$HeartY,180,1,0
0,GasterBlaster,0,100,100,$HeartX,450,270,1,0
